epoch,step,train_loss_epoch,train_loss_step
0,0,,1.0074772834777832
0,1,,1.025040626525879
0,2,,0.9701597690582275
0,3,,0.9709352850914001
0,4,,0.9472275376319885
0,5,,0.8727918267250061
0,6,,0.8416799306869507
0,7,,0.8113614916801453
0,8,,0.795296311378479
0,9,,0.7524076104164124
0,10,,0.7395132780075073
0,11,,0.7265134453773499
0,12,,0.7304690480232239
0,13,,0.7184868454933167
0,14,,0.6907827854156494
0,15,,0.7264740467071533
0,16,,0.7166423797607422
0,17,,0.7106225490570068
0,18,,0.6859545111656189
0,19,,0.710088312625885
0,20,,0.7132728695869446
0,21,,0.7065615057945251
0,22,,0.7077651619911194
0,23,,0.6906858086585999
0,24,,0.6990064382553101
0,25,,0.7003608345985413
0,26,,0.6895148754119873
0,27,,0.6770802736282349
0,28,,0.7235807776451111
0,29,,0.7090904712677002
0,30,,0.7040048837661743
0,31,,0.6937965750694275
0,32,,0.6947904229164124
0,33,,0.7072789669036865
0,34,,0.6956030130386353
0,35,,0.7005415558815002
0,36,,0.684402585029602
0,37,,0.6953479051589966
0,38,,0.6894322633743286
0,39,,0.6850171685218811
0,40,,0.6866517066955566
0,41,,0.7053604125976562
0,42,,0.6860811710357666
0,43,,0.6871039867401123
0,44,,0.6862092018127441
0,45,,0.7006493210792542
0,46,,0.703832745552063
0,47,,0.7044371366500854
0,48,,0.7019617557525635
0,49,,0.6868045926094055
0,50,,0.6795056462287903
0,51,,0.6917709708213806
0,52,,0.6989108920097351
0,53,,0.6933069825172424
0,54,,0.6775894165039062
0,55,,0.6897240877151489
0,56,,0.686400830745697
0,57,,0.7071807384490967
0,58,,0.6782750487327576
0,59,,0.6768160462379456
0,60,,0.6596598625183105
0,61,,0.671571671962738
0,62,,0.6787573099136353
0,63,,0.6647107005119324
0,64,,0.6726912260055542
0,65,,0.6605088114738464
0,66,,0.6589256525039673
0,67,,0.66647869348526
0,68,,0.662185788154602
0,69,,0.6563673615455627
